Country,Region,City,NIL,CODICE,PREVALENTE,DISCIPLINA,DENOMINAZI,INDIRIZZO,CATEGORIA,TIPOLOGIA,SEDIME
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,78,Servizio unico,Disciplinato PdS,Stazione Termica,Largo Rapallo 0,Infrastrutture tecnologiche e,"Distribuzione acqua potabile, gas metano,",Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,223,Servizio unico,Servizio privato,Argomm Teatro,VIA GRAZIANO IMPERATORE 40,Cultura,Teatri e Auditorium,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,227,Servizio unico,Disciplinato PdS,Teatro della Cooperativa,VIA PRIVATA HERMADA  8,Cultura,Teatri e Auditorium,Puntuale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,346,Servizio principale,Disciplinato PdS,Scuola Paritaria - Cesari 42,VIA CESARI ANTONIO 40,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,346,Servizio sussidiario,Disciplinato PdS,Duca degli Abruzzi,VIA CESARI ANTONIO 40,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,346,Servizio sussidiario,Disciplinato PdS,Cc Cesari,VIA CESARI ANTONIO 40,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,347,Servizio principale,Disciplinato PdS,Locchi,VIA GIAN BATTISTA PASSERINI 4,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,347,Servizio sussidiario,Disciplinato PdS,G. Cassinis,VIA GIAN BATTISTA PASSERINI 4,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,348,Servizio unico,Disciplinato PdS,Centro Sportivo Pozzo - Polisporitva Lombardia,VIA GIUSEPPE POZZOBONELLI 4,Sport,Centri Polivalenti,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,351,Servizio principale,Disciplinato PdS,Cipm Centro Italiano per la Promozione della,Via Paulucci di Calboli Fulcieri 1,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,351,Servizio sussidiario,Disciplinato PdS,G. Cassinis,Via Paulucci di Calboli Fulcieri 1,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,353,Servizio principale,Disciplinato PdS,CSS Comunita Socio Sanitaria E Beltrami CSS,VIA GIOVANNI TERRUGGIA 22,Servizi Sociali,ResidenzialitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,353,Servizio sussidiario,Servizio privato,Villa Clerici - Galleria D'arte Sacra dei,VIA GIOVANNI TERRUGGIA 22,Cultura,Musei e sedi espositive assimilabili,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,353,Servizio sussidiario,Servizio privato,"Centro di Consultazione Psicopedagogica ""Villa",VIA GIOVANNI TERRUGGIA 22,Cultura,Centri di documentazione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,353,Servizio sussidiario,Disciplinato PdS,CDD C C Colombo Vanzago,VIA GIOVANNI TERRUGGIA 22,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,353,Servizio sussidiario,Disciplinato PdS,Centro Diurno Pangea,VIA GIOVANNI TERRUGGIA 22,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,354,Servizio unico,Disciplinato PdS,Polizia di Stato - Centro di Formazione,VIA CESARI ANTONIO 20,Sicurezza e Protezione,Polizia di Stato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,355,Servizio unico,Disciplinato PdS,Depuratore Bresso - Seveso Sud,VIA DEL REGNO ITALICO 0,Infrastrutture tecnologiche e,Smaltimento e trattamento acque reflue,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,361,Servizio unico,Servizio privato,Campi Sportivi - Parco Nord,VIA PALANZONE 0,Sport,Centri sportivi,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,370,Servizio principale,Disciplinato PdS,Biblioteca Niguarda,VIA GIAN BATTISTA PASSERINI 7,Cultura,Biblioteche di pubblica lettura,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,370,Servizio sussidiario,Disciplinato PdS,Sedi Anagrafe Decentrate Zona 9 Niguarda,VIA GIAN BATTISTA PASSERINI 7,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,370,Servizio sussidiario,Disciplinato PdS,Zona Niguarda,VIA GIAN BATTISTA PASSERINI 7,Sicurezza e Protezione,Polizia Locale,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,371,Servizio unico,Disciplinato PdS,Esercito,VIALE SUZZANI GIOVANNI 131,Sicurezza e Protezione,Forze Armate,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,372,Servizio principale,Disciplinato PdS,III Reparto Mobile,VIA UMBERTO CAGNI 21,Sicurezza e Protezione,Polizia di Stato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,372,Servizio sussidiario,Disciplinato PdS,"Reparto Prevenzione Crimine ""Lombardia""",VIA UMBERTO CAGNI 21,Sicurezza e Protezione,Polizia di Stato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,427,Servizio principale,Disciplinato PdS,Cirie' 12,VIA CIRIE' 12,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,427,Servizio sussidiario,Disciplinato PdS,Scuola Paritaria - Cirie' Girola 10,VIA CIRIE' 12,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Palletta 6,VIA GIOVANNI BATTISTA PALLETTA 6,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Presidio Osp. Niguarda CÃ  Granda,VIA GIOVANNI BATTISTA PALLETTA 6,Salute,Strutture di ricovero e cura,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,Asl UnitÃ  Operativa,VIA GIOVANNI BATTISTA PALLETTA 6,Salute,Strutture ambulatoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Servizio privato,Consultorio Pediatrico,VIA GIOVANNI BATTISTA PALLETTA 6,Salute,Strutture ambulatoriali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,428,Servizio sussidiario,Disciplinato PdS,CDD Cherasco,VIA GIOVANNI BATTISTA PALLETTA 6,Servizi Sociali,Diurnato,Areale
