ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
b556a149-1a4b-42ba-bd96-695cf3888088,2019-12-08T14:42:00.871Z,2019-12-08T14:47:38.000Z,mvaaltola@gmail.com,On-street parking,45.517294,9.194883,12,5040436,515220,32T,On-street parking,0.9,,b556a149-1a4b-42ba-bd96-695cf3888088_1575816118.jpg
49d7335e-0dbd-406d-9b2b-992eca36e3ef,2019-12-08T14:36:43.922Z,2019-12-08T14:47:36.000Z,mvaaltola@gmail.com,Curb ramps,45.517603,9.195645,9,5040470,515280,32T,Curb ramps,2,,
ffa23e4d-aa1a-4597-8ea8-390a11f89307,2019-12-08T14:35:17.100Z,2019-12-08T14:47:35.000Z,mvaaltola@gmail.com,Curb ramps,45.517468,9.194572,9,5040455,515196,32T,Curb ramps,2,,
429bc39b-e4e1-4d2b-8ab2-e6bb2df74d5c,2019-12-08T14:31:24.524Z,2019-12-08T14:47:34.000Z,mvaaltola@gmail.com,Curb ramps,45.5187,9.193245,4,5040592,515092,32T,Curb ramps,1,,
5b917453-ef52-46ea-96f7-a22f1680133c,2019-12-08T14:29:06.107Z,2019-12-08T14:47:32.000Z,mvaaltola@gmail.com,Curb ramps,45.518978,9.195626,9,5040623,515278,32T,Curb ramps,3,,
e3cc4f79-355e-44c3-902f-cebc08bc6ccd,2019-12-08T14:27:52.412Z,2019-12-08T14:47:31.000Z,mvaaltola@gmail.com,Curb ramps,45.518567,9.196234,9,5040577,515326,32T,Curb ramps,1,,
3a60111c-6086-45fd-84d6-59714bebead0,2019-12-08T14:26:53.133Z,2019-12-08T14:47:29.000Z,mvaaltola@gmail.com,Width of sidewalk,45.518156,9.196255,4,5040532,515327,32T,Width of sidewalk,0.4,,
7a4871e6-fa36-4261-be2c-428be36aec6c,2019-12-08T14:26:17.817Z,2019-12-08T14:47:28.000Z,mvaaltola@gmail.com,Curb ramps,45.517937,9.195591,6,5040507,515276,32T,Curb ramps,1,junction to curve,
d23f5a18-fbc7-4097-a780-1013d5b2dab7,2019-12-08T14:24:54.528Z,2019-12-08T14:47:27.000Z,mvaaltola@gmail.com,Curb ramps,45.517831,9.19418,10,5040495,515165,32T,Curb ramps,3,to junction,
3f08033e-ac89-460b-b3d8-891bc4b29498,2019-12-08T14:22:48.556Z,2019-12-08T14:47:25.000Z,mvaaltola@gmail.com,Lighting,45.517291,9.193202,8,5040435,515089,32T,Lighting,3,,
5dce42ed-1520-466f-ad4f-4e186c4b5725,2019-12-08T14:22:26.141Z,2019-12-08T14:47:24.000Z,mvaaltola@gmail.com,On-street parking,45.517234,9.19295,10,5040429,515069,32T,On-street parking,0.95,,5dce42ed-1520-466f-ad4f-4e186c4b5725_1575814943.jpg
8adeded6-a57b-41ac-9cb5-56ab80abf010,2019-12-08T14:15:57.761Z,2019-12-08T14:47:22.000Z,mvaaltola@gmail.com,Lighting,45.515511,9.19446,7,5040238,515188,32T,Lighting,3,,
e60f4d05-ae98-4edc-8259-5c578c1fd498,2019-12-08T14:15:39.096Z,2019-12-08T14:47:21.000Z,mvaaltola@gmail.com,On-street parking,45.515474,9.194466,10,5040234,515188,32T,On-street parking,0.95,,
d792b1fc-de99-420d-8228-c1fe3e85bcee,2019-12-08T14:14:09.002Z,2019-12-08T14:47:20.000Z,mvaaltola@gmail.com,Lighting,45.516132,9.194304,10,5040307,515176,32T,Lighting,2,,
